mobile,password,username
90000000100,1234567A!,u100
90000000101,1234567A!,u101
90000000102,1234567A!,u102
90000000103,1234567A!,u103
90000000104,1234567A!,u104
90000000105,1234567A!,u105
90000000106,1234567A!,u106
90000000107,1234567A!,u107
90000000108,1234567A!,u108
90000000109,1234567A!,u109
90000000110,1234567A!,u110
90000000111,1234567A!,u111
90000000112,1234567A!,u112
90000000113,1234567A!,u113
90000000114,1234567A!,u114
90000000115,1234567A!,u115
90000000116,1234567A!,u116
90000000117,1234567A!,u117
90000000118,1234567A!,u118
90000000119,1234567A!,u119
90000000120,1234567A!,u120
90000000121,1234567A!,u121
90000000122,1234567A!,u122
90000000123,1234567A!,u123
90000000124,1234567A!,u124
90000000125,1234567A!,u125
90000000126,1234567A!,u126
90000000127,1234567A!,u127
90000000128,1234567A!,u128
90000000129,1234567A!,u129
90000000130,1234567A!,u130
90000000131,1234567A!,u131
90000000132,1234567A!,u132
90000000133,1234567A!,u133
90000000134,1234567A!,u134
90000000135,1234567A!,u135
90000000136,1234567A!,u136
90000000137,1234567A!,u137
90000000138,1234567A!,u138
90000000139,1234567A!,u139
90000000140,1234567A!,u140
90000000141,1234567A!,u141
90000000142,1234567A!,u142
90000000143,1234567A!,u143
90000000144,1234567A!,u144
90000000145,1234567A!,u145
90000000146,1234567A!,u146
90000000147,1234567A!,u147
90000000148,1234567A!,u148
90000000149,1234567A!,u149
90000000150,1234567A!,u150
